Κωδικός;Ειδικότητα
ΔΕ01.05;ΟΙΚΟΔΟΜΟΙ
ΔΕ01.14;ΚΟΠΤΙΚΗΣ-ΡΑΠΤΙΚΗΣ
ΔΕ01.17;ΚΟΜΜΩΤΙΚΗΣ
ΔΕ01-ΕΒΠ;ΕΙΔΙΚΟ ΒΟΗΘΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ
ΔΕ02.01;ΗΛΕΚΤΡΟΛΟΓΟΙ-ΗΛΕΚΤΡΟΝΙΚΟΙ
ΔΕ02.02;ΜΗΧΑΝΟΛΟΓΟΙ
ΔΕ-ΙΔΚ;ΙΕΡΟΔΙΔΑΣΚΑΛΟΙ ΚΑΘΟΛΙΚΟΥ ΔΟΓΜΑΤΟΣ
ΕΜ16.00;ΜΟΥΣΙΚΗΣ - ΕΜΠΕΙΡΟΤΕΧΝΕΣ
ΘΚ-ΚΙΝΗΣΗ;ΘΚ-ΚΙΝΗΣΗ
ΘΚ-ΣΚΗΝΟΘΕΤΗΣ;ΘΚ-ΣΚΗΝΟΘΕΤΗΣ
ΠΕ01;ΘΕΟΛΟΓΟΙ
ΠΕ01.50;ΘΕΟΛΟΓΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ02;ΦΙΛΟΛΟΓΟΙ
ΠΕ02.50;ΦΙΛΟΛΟΓΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ03;ΜΑΘΗΜΑΤΙΚΟΙ
ΠΕ03.50;ΜΑΘΗΜΑΤΙΚΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ04.01;ΦΥΣΙΚΟΙ
ΠΕ04.01.50;ΦΥΣΙΚΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ04.02;ΧΗΜΙΚΟΙ
ΠΕ04.02.50;ΧΗΜΙΚΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ04.03;ΦΥΣΙΟΓΝΩΣΤΕΣ
ΠΕ04.04;ΒΙΟΛΟΓΟΙ
ΠΕ04.04.50;ΒΙΟΛΟΓΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ04.05;ΓΕΩΛΟΓΟΙ
ΠΕ04.05.50;ΓΕΩΛΟΓΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ05;ΓΑΛΛΙΚΗΣ ΦΙΛΟΛΟΓΙΑΣ
ΠΕ06;ΑΓΓΛΙΚΗΣ ΦΙΛΟΛΟΓΙΑΣ
ΠΕ06.50;ΑΓΓΛΙΚΗΣ ΦΙΛΟΛΟΓΙΑΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ07;ΓΕΡΜΑΝΙΚΗΣ ΦΙΛΟΛΟΓΙΑΣ
ΠΕ08;ΚΑΛΛΙΤΕΧΝΙΚΩΝ
ΠΕ08.50;ΚΑΛΛΙΤΕΧΝΙΚΩΝ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ11;ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ11.01;ΕΙΔΙΚΗΣ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ21;ΘΕΡΑΠΕΥΤΩΝ ΛΟΓΟΥ
ΠΕ22;ΕΠΑΓΓΕΛΜΑΤΙΚΟΙ ΣΥΜΒΟΥΛΟΙ ΑΕΙ
ΠΕ23;ΨΥΧΟΛΟΓΟΙ
ΠΕ23-ΣΔΕΥ;ΨΥΧΟΛΟΓΟΙ
ΠΕ24;ΠΑΙΔΟΨΥΧΙΑΤΡΟΙ
ΠΕ25;ΣΧΟΛΙΚΟΙ ΝΟΣΗΛΕΥΤΕΣ
ΠΕ28;ΦΥΣΙΟΘΕΡΑΠΕΥΤΕΣ
ΠΕ29;ΕΡΓΟΘΕΡΑΠΕΥΤΕΣ
ΠΕ30;ΚΟΙΝΩΝΙΚΟΙ ΛΕΙΤΟΥΡΓΟΙ
ΠΕ30-ΣΔΕΥ;ΚΟΙΝΩΝΙΚΟΙ ΛΕΙΤΟΥΡΓΟΙ
ΠΕ31ΚΠΔ;ΔΕΞΙΟΤΗΤΩΝ ΔΙΑΒΙΩΣΗΣ ΤΥΦΛΩΝ
ΠΕ31ΝΟ;ΝΟΗΜΑΤΙΚΗΣ ΓΛΩΣΣΑΣ ΚΩΦΩΝ
ΠΕ31ΣΕΠΤ;ΕΠΑΓΓΕΛΜΑΤΙΚΟΥ ΠΡΟΣΑΝΑΤΟΛΙΣΜΟΥ ΤΥΦΛΩΝ
ΠΕ33;ΜΕΘΟΔΟΛΟΓΙΑΣ ΙΣΤΟΡΙΑΣ (ΜΙΘΕ)
ΠΕ34;ΙΤΑΛΙΚΗΣ ΦΙΛΟΛΟΓΙΑΣ
ΠΕ40;ΙΣΠΑΝΙΚΗΣ ΦΙΛΟΛΟΓΙΑΣ
ΠΕ60;ΝΗΠΙΑΓΩΓΟΙ
ΠΕ60.50;ΝΗΠΙΑΓΩΓΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ61;ΝΗΠΙΑΓΩΓΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ70;ΔΑΣΚΑΛΟΙ
ΠΕ70.50;ΔΑΣΚΑΛΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ71;ΔΑΣΚΑΛΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ73;ΔΑΣΚΑΛΟΙ ΜΕΙΟΝΟΤΙΚΟΥ ΠΡΟΓΡΑΜΜΑΤΟΣ
ΠΕ78;ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ
ΠΕ78.50;ΚΟΙΝΩΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ79.01;ΜΟΥΣΙΚΗΣ ΕΠΙΣΤΗΜΗΣ
ΠΕ79.01.50;ΜΟΥΣΙΚΗΣ ΕΠΙΣΤΗΜΗΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ79.02;ΤΕΧΝΟΛΟΓΟΙ ΜΟΥΣΙΚΗΣ ΤΕΧΝΟΛΟΓΙΑΣ, ΗΧΟΥ ΚΑΙ ΜΟΥΣΙΚΩΝ ΟΡΓΑΝΩΝ
ΠΕ80;ΟΙΚΟΝΟΜΙΑΣ
ΠΕ80.50;ΟΙΚΟΝΟΜΙΑΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ81;ΠΟΛ.ΜΗΧΑΝΙΚΩΝ-ΑΡΧΙΤΕΚΤΟΝΩΝ
ΠΕ81.50;ΠΟΛ.ΜΗΧΑΝΙΚΩΝ-ΑΡΧΙΤΕΚΤΟΝΩΝ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ82;ΜΗΧΑΝΟΛΟΓΩΝ
ΠΕ82.50;ΜΗΧΑΝΟΛΟΓΩΝ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ83;ΗΛΕΚΤΡΟΛΟΓΩΝ
ΠΕ83.50;ΗΛΕΚΤΡΟΛΟΓΩΝ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ84;ΗΛΕΚΤΡΟΝΙΚΩΝ
ΠΕ84.50;ΗΛΕΚΤΡΟΝΙΚΩΝ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ85;ΧΗΜΙΚΩΝ ΜΗΧΑΝΙΚΩΝ
ΠΕ86;ΠΛΗΡΟΦΟΡΙΚΗΣ
ΠΕ86.50;ΠΛΗΡΟΦΟΡΙΚΗΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ87.01;ΙΑΤΡΙΚΗΣ
ΠΕ87.01.50;ΙΑΤΡΙΚΗΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ87.02;ΝΟΣΗΛΕΥΤΙΚΗΣ
ΠΕ87.02.50;ΝΟΣΗΛΕΥΤΙΚΗΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ87.03;ΑΙΣΘΗΤΙΚΗΣ
ΠΕ87.03.50;ΑΙΣΘΗΤΙΚΗΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ87.04;ΙΑΤΡΙΚΩΝ ΕΡΓΑΣΤΗΡΙΩΝ
ΠΕ87.05;ΟΔΟΝΤΟΤΕΧΝΙΚΗΣ
ΠΕ87.06;ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ
ΠΕ87.06.50;ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ87.07;ΡΑΔΙΟΛΟΓΙΑΣ-ΑΚΤΙΝΟΛΟΓΙΑΣ
ΠΕ87.08;ΦΥΣΙΟΘΕΡΑΠΕΙΑΣ
ΠΕ87.08.50;ΦΥΣΙΟΘΕΡΑΠΕΙΑΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ87.09;ΒΡΕΦΟΝΗΠΙΟΚΟΜΩΝ
ΠΕ87.09.50;ΒΡΕΦΟΝΗΠΙΟΚΟΜΩΝ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ87.10;ΔΗΜΟΣΙΑΣ ΥΓΙΕΙΝΗΣ
ΠΕ87.10.50;ΔΗΜΟΣΙΑΣ ΥΓΙΕΙΝΗΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ88.01;ΓΕΩΠΟΝΟΙ
ΠΕ88.01.50;ΓΕΩΠΟΝΟΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ88.02;ΦΥΤΙΚΗΣ ΠΑΡΑΓΩΓΗΣ
ΠΕ88.02.50;ΦΥΤΙΚΗΣ ΠΑΡΑΓΩΓΗΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ88.03;ΖΩΙΚΗΣ ΠΑΡΑΓΩΓΗΣ
ΠΕ88.03.50;ΖΩΙΚΗΣ ΠΑΡΑΓΩΓΗΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ88.04;ΔΙΑΤΡΟΦΗΣ
ΠΕ88.04.50;ΔΙΑΤΡΟΦΗΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ88.05;ΦΥΣΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ
ΠΕ88.05.50;ΦΥΣΙΚΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ89.01;ΚΑΛΛΙΤΕΧΝΙΚΩΝ ΣΠΟΥΔΩΝ
ΠΕ89.01.50;ΚΑΛΛΙΤΕΧΝΙΚΩΝ ΣΠΟΥΔΩΝ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ89.02;ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΠΑΡΑΓΩΓΗΣ ΠΡΟΪΟΝΤΩΝ
ΠΕ89.02.50;ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΠΑΡΑΓΩΓΗΣ ΠΡΟΪΟΝΤΩΝ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ90;ΝΑΥΤΙΚΩΝ ΜΑΘΗΜΑΤΩΝ
ΠΕ91.01;ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ
ΠΕ91.01.50;ΘΕΑΤΡΙΚΩΝ ΣΠΟΥΔΩΝ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΠΕ91.02;ΔΡΑΜΑΤΙΚΗΣ ΤΕΧΝΗΣ
ΠΕ91.02.50;ΔΡΑΜΑΤΙΚΗΣ ΤΕΧΝΗΣ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ
ΤΕ01.04;ΨΥΚΤΙΚΟΙ
ΤΕ01.06;ΗΛΕΚΤΡΟΛΟΓΟΙ
ΤΕ01.07;ΗΛΕΚΤΡΟΝΙΚΟΙ
ΤΕ01.13;ΠΡΟΓΡΑΜΜΑΤΙΣΤΕΣ Η/Υ
ΤΕ01.19;ΚΟΜΜΩΤΙΚΗΣ
ΤΕ01.20;ΑΙΣΘΗΤΙΚΗΣ
ΤΕ01.25;ΑΡΓΥΡΟΧΡΥΣΟΧΟΪΑΣ
ΤΕ01.26;ΟΔΟΝΤΟΤΕΧΝΙΚΗΣ
ΤΕ01.29;ΒΟΗΘ. ΙΑΤΡ. & ΒΙΟΛΟΓ. ΕΡΓΑΣΤΗΡΙΩΝ
ΤΕ01.30;ΒΟΗΘ. ΒΡΕΦΟΚΟΜΟΙ-ΠΑΙΔΟΚΟΜΟΙ
ΤΕ01.31;ΧΕΙΡΙΣΤΕΣ ΙΑΤΡΙΚΩΝ ΣΥΣΚΕΥΩΝ
ΤΕ02.01;ΣΧΕΔΙΑΣΤΕΣ-ΔΟΜΙΚΟΙ
ΤΕ02.02;ΜΗΧΑΝΟΛΟΓΟΙ
ΤΕ02.03;ΧΗΜΙΚΟΙ ΕΡΓΑΣΤΗΡΙΩΝ
ΤΕ02.04;ΟΙΚΟΝΟΜΙΑΣ-ΔΙΟΙΚΗΣΗΣ
ΤΕ02.05;ΕΦΑΡΜΟΣΜΕΝΩΝ ΤΕΧΝΩΝ
ΤΕ02.07;ΓΕΩΠΟΝΙΑΣ
ΤΕ16;ΜΟΥΣΙΚΗΣ ΜΗ ΑΝΩΤΑΤΩΝ ΙΔΡΥΜΑΤΩΝ
ΧΟΡΟΣ-ΚΙΝΗΣΗ;ΧΟΡΟΣ-ΚΙΝΗΣΗ
ΧΟΡΟΣ-ΚΛΑΣΣΙΚΟΣ;ΧΟΡΟΣ-ΚΛΑΣΣΙΚΟΣ
ΧΟΡΟΣ-ΣΥΓΧΡΟΝΟΣ;ΧΟΡΟΣ-ΣΥΓΧΡΟΝΟΣ
ΔΕ1;ΔΕ Διοικητικού-Λογιστικού
ΔΕ2;ΔΕ ΔΙΟΙΚΗΤΙΚΟΥ-ΛΟΓΙΣΤΙΚΟΥ
ΔΕ4;ΔΕ Πληροφορικής
ΔΕ5;ΔΕ Τεχνικού
ΔΕ6;ΔΕ ΤΕΧΝΙΚΟΥ
ΔΕ8;ΔΕ Οδηγών
ΔΕ9;ΔΕ Προσωπικού Πρόνοιας
ΠΕ1;ΠΕ Διοικητικού-Οικονομικού
ΠΕ2;ΠΕ ΔΙΟΙΚΗΤΙΚΟΥ-ΟΙΚΟΝΟΜΙΚΟΥ
ΠΕ3;ΠΕ Πληροφορικής
ΠΕ4;ΠΕ ΠΛΗΡΟΦΟΡΙΚΗΣ
ΤΕ1;ΤΕ Διοικητικού-Λογιστικού
ΤΕ2;ΤΕ ΔΙΟΙΚΗΤΙΚΟΥ-ΛΟΓΙΣΤΙΚΟΥ
ΤΕ3;ΤΕ ΔΙΟΙΚΗΤΙΚΟΥ-ΛΟΓΙΣΤΙΚΟΥ (ΠΡΟΣΩΡ)
ΤΕ4;ΤΕ Πληροφορικής
ΤΕ5;ΤΕ Βιβλιοθηκονομίας
ΤΕ6;ΤΕ ΠΛΗΡΟΦΟΡΙΚΗΣ
ΥΕ0;ΥΕ Προσωπικού Καθαριότητας Εσωτερικών Χώρων
ΥΕ1;ΥΕ ΠΡΟΣΩΠΙΚΟΥ ΚΑΘΑΡΙΟΤΗΤΑΣ ΕΣΩΤΕΡΙΚΩΝ ΧΩΡΩΝ
ΥΕ2;ΥΕ Επιμελητών-Κλητήρων
