id;code;name;subject_text;decision_text;max_days;requires_approval;is_active;created_at;folder;affects_regular_leave_balance;is_simple;workflow_variant;is_sick_leave_yd;is_sick_leave_total;instructions;is_revocation
;LT001;Άδεια  με αποδοχές για μονογονείς υπαλλήλους;Χορήγηση άδειας με αποδοχές για μονογονείς υπαλλήλους;άδεια  με αποδοχές για μονογονείς υπαλλήλους;6;TRUE;TRUE;;Φ 12.1/;FALSE;FALSE;STANDARD;FALSE;FALSE;καντε κανονική άδεια;FALSE
;LT002;Άδεια  παρακολούθησης σχολικής επίδοσης τέκνου;Χορήγηση άδειας παρακολούθησης σχολικής επίδοσης τέκνου;άδεια για την παρακολούθηση της σχολικής επίδοσης των τέκνων;4;FALSE;TRUE;;Φ 12.2/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT003;Άδεια αιμοδοσίας;Χορήγηση άδειας αιμοδοσίας/αιμοληψίας/λήψης αιμοπεταλίων;άδεια αιμοδοσίας;2;FALSE;TRUE;;Φ 12.2/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT004;Άδεια αιρετών ΟΤΑ Α' & Β΄ βαθμού;Χορήγηση άδειας αιρετών ΟΤΑ Α' & Β΄ βαθμού;άδεια αιρετών ΟΤΑ Α' & Β΄ βαθμού;20;FALSE;TRUE;;Φ 12.2/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT005;Άδεια αναπηρίας;Χορήγηση ειδικής άδειας αναπηρίας (ιδίου/τέκνου);άδεια αναπηρίας;10;TRUE;TRUE;;Φ 12.4/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT006;Άδεια ανατροφής τέκνου;Χορήγηση Άδειας ανατροφής τέκνου;άδεια ανατροφής τέκνου;120;TRUE;TRUE;;Φ 12.3/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT007;Άδεια ανατροφής τέκνου έξι(6) μηνών λόγω δίδυμης κύησης;άδεια ανατροφής τέκνου έξι(6) μηνών λόγω δίδυμης κύησης (εδ.8,παρ.2 του αρ.53 ν.3528/2007);άδεια ανατροφής τέκνου έξι(6) μηνών λόγω δίδυμης κύησης;180;TRUE;TRUE;;Φ 12.6/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT008;Άδεια ασθένειας τέκνων;Χορήγηση άδειας ασθένειας τέκνου;άδεια ασθένειας τέκνων;14;TRUE;TRUE;;Φ.12.4/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT009;Άδεια άσκησης εκλογικού δικαιώματος;Χορήγηση άδειας άσκησης εκλογικού δικαιώματος;άδεια άσκησης εκλογικού δικαιώματος;1;TRUE;TRUE;;Φ 12.4/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT010;Άδεια Γάμου;Χορήγηση άδειας γάμου;άδεια γάμου;5;TRUE;TRUE;;Φ 12.4/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT011;Άδεια για επιμορφωτικούς ή επιστημονικούς λόγους;Χορήγηση άδειας για επιμορφωτικούς ή επιστημονικούς λόγους;άδεια για επιμορφωτικούς ή επιστημονικούς λόγους;30;TRUE;FALSE;;;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT012;Άδεια για συμμετοχή σε δίκη;Χορήγηση άδειας για συμμετοχή σε δίκη;άδεια για συμμετοχή σε δίκη;2;TRUE;TRUE;;Φ 12.4/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT013;Άδεια γυναικολογικού ελέγχου;Χορήγηση άδειας ετήσιου γυναικολογικού ελέγχου;άδεια γυναικολογικού ελέγχου;1;TRUE;TRUE;;Φ 12.4/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT014;Άδεια εξετάσεων;Χορήγηση άδειας εξετάσεων;άδεια εξετάσεων;14;TRUE;TRUE;;Φ 12.4/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT015;Άδεια κύησης;Χορήγηση άδειας Μητρότητας- Κύησης;άδεια κύησης;60;TRUE;TRUE;;Φ 12.5/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT016;Άδεια λοχείας;Χορήγηση άδειας Μητρότητας- Λοχείας;άδεια λοχείας;60;TRUE;TRUE;;Φ 12.2/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT017;Άδεια μειωμένου ωραρίου για ανατροφή τέκνου;Xορήγηση άδειας μειωμένου ωραρίου για ανατροφή τέκνου;άδεια μειωμένου ωραρίου για ανατροφή τέκνου;0;TRUE;TRUE;;Φ 12.4/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT018;Άδεια νοσήματος;Χορήγηση  ειδικής άδειας νοσήματος (ιδίου/συζύγου/τέκνου);άδεια νοσήματος;30;TRUE;TRUE;;Φ.12.11/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT019;Άδεια Πατρότητας;Χορήγηση Άδειας Πατρότητας;άδεια Πατρότητας;14;TRUE;TRUE;;Φ.12.10/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT020;Άδεια προγεννητικού ελέγχου;Χορήγηση άδειας προγεννητικού ελέγχου;άδεια προγεννητικού ελέγχου;7;TRUE;TRUE;;Φ 12.10/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT021;Αναρρωτική Άδεια με απόφ. Υγειονομικής Επιτροπής;Χορήγηση αναρρωτικής άδειας με Γνωμάτευση Υγειονομικής Επιτροπής;αναρρωτική άδεια;30;TRUE;TRUE;;Φ 12.6/;FALSE;FALSE;STANDARD;TRUE;TRUE;;FALSE
;LT022;Αναρρωτική Άδεια με Ιατρική Γνωμάτευση;Χορήγηση αναρρωτικής άδειας με Ιατρική Γνωμάτευση;αναρρωτική άδεια;20;TRUE;TRUE;;Φ 12.5/;FALSE;FALSE;STANDARD;TRUE;TRUE;;FALSE
;LT023;Αναρρωτική Άδεια με ΥΔ;Χορήγηση αναρρωτικής άδειας με Υπεύθυνη Δήλωση;αναρρωτική άδεια;15;TRUE;TRUE;;Φ 12.5/;FALSE;FALSE;STANDARD;TRUE;TRUE;;FALSE
;LT024;Γονική Άδεια (Ν.4808/2021);Χορήγηση Γονικής Άδειας σε αναπληρωτές (Ν.4808/2021);Γονική Άδεια (Ν.4808/2021);120;TRUE;TRUE;;Φ 12.4/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT025;Γονική άδεια άνευ αποδοχών για ανατροφή τέκνου έως και οκτώ(8) ετών;Χορήγηση γονικής άδειας άνευ αποδοχών για ανατροφή τέκνου έως και οκτώ(8) ετών;γονική άδεια άνευ αποδοχών για ανατροφή τέκνου έως και οκτώ(8) ετών;730;TRUE;TRUE;;Φ.12.4/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT026;Ειδική άδεια ανυπαίτιου κωλύματος;Χορήγηση ειδικής άδειας ανυπαίτιου κωλύματος;ειδική άδεια ανυπαίτιου κωλύματος;5;TRUE;TRUE;;Φ 12.5/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT027;Ειδική άδεια απουσίας Ν.4488/2017;Χορήγηση ειδικής άδεια απουσίας Ν.4488/2017 αιρετών ΣΚΛΕ;Ειδική άδεια απουσίας Ν.4488/2017 αιρετών ΣΚΛΕ;10;TRUE;TRUE;;Φ 12.8/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT028;Ειδική άδεια διευκόλυνσης;Χορήγηση Ειδικής άδειας διευκόλυνσης;υποψήφιο αιρετό εκπρόσωπο , άδεια ειδική διευκόλυνσης;5;TRUE;TRUE;;;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT029;Ειδική άδεια (θανάτου);Χορήγηση  άδειας  θανάτου (συζύγου ή συγγενούς έως και β΄βαθμού);ειδική άδεια λόγω θανάτου συγγενούς;3;TRUE;TRUE;;Φ.12.10/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT030;Κανονική Άδεια;Χορήγηση κανονικής άδειας;κανονική άδεια;25;TRUE;TRUE;;Φ 12.5/;TRUE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT031;Συνδικαλιστική Άδεια;Χορήγηση συνδικαλιστικής άδειας;συνδικαλιστική άδεια;10;TRUE;TRUE;;Φ 12.5/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT032;Τρίμηνη άδεια ανατροφής τέκνου;Χορήγηση τρίμηνης άδειας ανατροφής τέκνου;τρίμηνη άδεια ανατροφής τέκνου;90;TRUE;TRUE;;Φ.12.11/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT033;Υποβολής σε ιατρικές μεθόδους υποβοηθούμενης αναπαραγωγής;Χορήγηση άδειας Υποβολής σε μεθόδους  ιατρικώς υποβοηθούμενης αναπαραγωγής;άδεια Υποβολής σε  μεθόδους  ιατρικώς υποβοηθούμενης αναπαραγωγής;7;TRUE;TRUE;;Φ 12.5/;FALSE;FALSE;STANDARD;FALSE;FALSE;;FALSE
;LT034;Ανάκληση άδειας;Ανάκληση άδειας;ανάκληση άδειας;0;TRUE;TRUE;;;FALSE;FALSE;STANDARD;FALSE;FALSE;Είναι υποχρεωτικό να γράψετε στο πεδίο Περιγραφή/Αιτιολογία, ποια άδεια θέλετε να ανακαλέσετε.;TRUE
;LT035;Προφορική;Προφορική;Προφορική;3;TRUE;TRUE;;;FALSE;TRUE;STANDARD;FALSE;FALSE;;FALSE
;LT036;Εορταστική;Εορταστική;Εορταστική;2;TRUE;TRUE;;;FALSE;TRUE;STANDARD;FALSE;FALSE;;FALSE
;LT037;Υπηρεσιακή;Υπηρεσιακή;Υπηρεσιακή;5;TRUE;TRUE;;;FALSE;TRUE;STANDARD;FALSE;FALSE;;FALSE
